texto,categoria,criterio,formato
¿cómo puedo ver el reporte de trámites vencidos en vista previa?.,tramites,atrasados,pantalla
Datos papeles aprobados xlsx,documentos,completados,excel
Generar un reporte de política de negocio en pantalla,politicas,todos,pantalla
Por favor genera un reporte de usuarios resuelto en pdf!,usuarios,completados,pdf
Quiero un reporte de operadores en en pdf,usuarios,todos,pdf
en en pdf quiero el reporte de reglas de negocio atrasado,politicas,atrasados,pdf
Quiero un reporte de políticas de negocio sin filtros en archivo word,politicas,todos,word
¿es posible obtener los solicitantes vencido en archivo excel?,clientes,atrasados,excel
Generar un reporte de procesos en documento word,tramites,todos,word
Exportar a archivo word los reglas de negocio,politicas,todos,word
Quiero un reporte de personal en mostrar,usuarios,todos,pantalla
Muéstrame un reporte de papeles en formato excel,documentos,todos,excel
Necesito exportar a xlsx el listado de solicitantes vencido,clientes,atrasados,excel
Listado operadores fuera de plazo hoja excel,usuarios,atrasados,excel
Datos trámites activos hoja excel,tramites,pendientes,excel
Reporte procesos en progreso excel,tramites,pendientes,excel
Datos trámites todas en pdf,tramites,todos,pdf
Crear reporte de trámite en archivo excel,tramites,todos,excel
¿cómo puedo ver el reporte de políticas finalizado en visualizar?,politicas,completados,pantalla
Exportar a xlsx los archivos todas,documentos,todos,excel
Obtener reporte de solicitantes en documento pdf,clientes,todos,pdf
Necesito el reporte de empleados todos en formato word,usuarios,todos,word
Crear reporte de ficheros hechos en en pantalla!,documentos,completados,pantalla
Exportar a documento word los clientes finalizado,clientes,completados,word
Descargar reporte de ciudadanos en documento editable,clientes,todos,word
Quiero un reporte de solicitudes en documento word,tramites,todos,word
por favor genera un reporte de casos vencido en hoja excel,tramites,atrasados,excel
Quiero un reporte de solicitudes en hoja excel,tramites,todos,excel
Quiero un reporte de empleados en word,usuarios,todos,word
Quiero exportar en formato portable las políticas de negocio procesando,politicas,pendientes,pdf
podrías generarme un reporte de requisitos con demora en json,documentos,atrasados,pantalla
Exportar a mostrar los diagramas todas,politicas,todos,pantalla
Exportar a archivo excel los solicitante general,clientes,todos,excel
Dame los solicitantes en formato formato pdf,clientes,todos,pdf
Generar un reporte de peticiones en formato excel,tramites,todos,excel
¿es posible obtener los personal atrasados en pdf?,usuarios,atrasados,pdf
Hazme un reporte de reglas de negocio tardíos en archivo pdf,politicas,atrasados,pdf
Descargar reporte de reglas de negocio en archivo excel,politicas,todos,excel
Necesito el reporte de reglas de negocio todas en hoja de cálculo,politicas,todos,excel
¿cómo puedo ver el reporte de empleados total en archivo word?,usuarios,todos,word
Quiero exportar en pdf las archivo lista completa,documentos,todos,pdf
Lista flujos de trabajo formato portable,tramites,todos,pdf
En formato pdf quiero el reporte de trámite terminados,tramites,completados,pdf
Descargar reporte de requisitos en xlsx.,documentos,todos,excel
¿cómo puedo ver el reporte de solicitudes todas en documento editable?,tramites,todos,word
Dame los solicitantes en formato formato portable,clientes,todos,pdf
Dame los políticas de negocio activo en formato hoja de cálculo,politicas,pendientes,excel
Exportar a excel los operadores pendiente,usuarios,pendientes,excel
Datos papeles vencidos formato word,documentos,atrasados,word
Lista operador en curso vista previa,usuarios,pendientes,pantalla
Crear reporte de diagramas de actividad en pantalla,politicas,todos,pantalla
Obtener reporte de ficheros sin filtros en documento pdf,documentos,todos,pdf
Muéstrame un reporte de empleados pendientes en formato json,usuarios,pendientes,pantalla
crear reporte de solicitantes en word,clientes,todos,word
Muéstrame un reporte de solicitante en en pdf,clientes,todos,pdf
DESCARGAR REPORTE DE DOCUMENTO ACTIVO EN HOJA EXCEL!,documentos,pendientes,excel
Sácame un reporte de ciudadanos sin filtros en json,clientes,todos,pantalla
Quiero un reporte de trámites activos en excel.,tramites,pendientes,excel
Obtener reporte de solicitante procesando en xlsx!,clientes,pendientes,excel
Dame los papeles en formato pantalla,documentos,todos,pantalla
Necesito el reporte de trámites en formato portable,tramites,todos,pdf
Crear reporte de diagramas en documento pdf,politicas,todos,pdf
¿cómo puedo ver el reporte de usuarios finales pendientes en documento pdf?,clientes,pendientes,pdf
En word quiero el reporte de flujos de trabajo global,tramites,todos,word
Quiero un reporte de archivos en consola,documentos,todos,pantalla
En formato docx dame los documento en proceso,documentos,pendientes,word
Quiero un reporte de cliente resueltos en excel,clientes,completados,excel
quiero exportar en pdf las reglas vencidos,politicas,atrasados,pdf
Descargar reporte de funcionarios tardíos en archivo word,usuarios,atrasados,word
crear reporte de peticiones en pdf,tramites,todos,pdf
Podrías generarme un reporte de adjuntos aprobado en visualizar,documentos,completados,pantalla
Listado cliente sin filtros en pdf,clientes,todos,pdf
quiero exportar en hoja excel las personal en curso,usuarios,pendientes,excel
Exportar a pdf los diagramas,politicas,todos,pdf
Podrías generarme un reporte de requisitos todos en formato portable,documentos,todos,pdf
Datos diagramas de actividad hechos formato json,politicas,completados,pantalla
Dame los diagramas en formato formato json,politicas,todos,pantalla
Hazme un reporte de documentos resueltos en en pdf,documentos,completados,pdf
Exportar a en pdf los personal.,usuarios,todos,pdf
Crear reporte de reglas de negocio aprobados en archivo excel,politicas,completados,excel
Generar un reporte de flujos de trabajo fuera de plazo en archivo pdf,tramites,atrasados,pdf
Por favor genera un reporte de reglas de negocio activo en formato word,politicas,pendientes,word
Necesito el reporte de diagramas en docx.,politicas,todos,word
Exportar a hoja de cálculo los papeles,documentos,todos,excel
en consola quiero el reporte de diagramas sin filtros,politicas,todos,pantalla
En excel quiero el reporte de diagramas vencido,politicas,atrasados,excel
Necesito el reporte de solicitantes con demora en en pdf,clientes,atrasados,pdf
quiero un reporte de funcionarios en archivo pdf,usuarios,todos,pdf
Necesito el reporte de usuarios finales con retraso en pdf,clientes,atrasados,pdf
Muéstrame un reporte de ciudadanos en archivo excel,clientes,todos,excel
reporte trámite en pantalla,tramites,todos,pantalla
Crear reporte de solicitudes activo en archivo pdf,tramites,pendientes,pdf
REPORTE SOLICITUDES VISUALIZAR,tramites,todos,pantalla
Necesito el reporte de reglas global en archivo pdf,politicas,todos,pdf
Descargar reporte de procesos completado en visualizar,tramites,completados,pantalla
en formato en pantalla dame los archivos completados,documentos,completados,pantalla
Descargar en word el reporte de solicitante completado,clientes,completados,word
Muéstrame un reporte de reglas de negocio en en pdf.,politicas,todos,pdf
Descargar reporte de adjuntos con demora en formato word,documentos,atrasados,word
Podrías generarme un reporte de ciudadanos cualquiera en formato pdf,clientes,todos,pdf
Listado clientes sin filtros archivo pdf.,clientes,todos,pdf
Quisiera ver la lista de ciudadanos hechos y bajarla en en word,clientes,completados,word
Crear reporte de documento vencidos en formato word,documentos,atrasados,word
Necesito exportar a documento word el listado de ficheros aprobado,documentos,completados,word
Generar un reporte de usuarios con demora en en excel,usuarios,atrasados,excel
Quiero un reporte de ciudadanos todas en archivo pdf,clientes,todos,pdf
Muéstrame un reporte de cliente en visualizar.,clientes,todos,pantalla
Datos trámite completado documento editable,tramites,completados,word
Generar un reporte de casos resuelto en mostrar,tramites,completados,pantalla
Por favor genera un reporte de política lista completa en excel,politicas,todos,excel
Reporte políticas de negocio hechos archivo excel.,politicas,completados,excel
Crear reporte de solicitante vencidos en documento word,clientes,atrasados,word
¿cómo puedo ver el reporte de requisitos tardíos en en word?.,documentos,atrasados,word
Descargar en xlsx el reporte de diagramas de actividad atrasado,politicas,atrasados,excel
necesito exportar a en pdf el listado de usuarios finales completo,clientes,todos,pdf
Dame los operador en formato formato portable.,usuarios,todos,pdf
por favor genera un reporte de peticiones todas en documento editable.,tramites,todos,word
Dame los políticas todos en formato archivo pdf.,politicas,todos,pdf
Necesito el reporte de solicitante en documento pdf,clientes,todos,pdf
descargar reporte de solicitudes general en word,tramites,todos,word
Dame los reglas en formato en word.,politicas,todos,word
Datos adjuntos hechos en pantalla,documentos,completados,pantalla
podrías generarme un reporte de reglas completados en archivo word,politicas,completados,word
Muéstrame un reporte de cliente hechos en xlsx,clientes,completados,excel
en documento word quiero el reporte de reglas de negocio aprobados,politicas,completados,word
Obtener reporte de flujos de trabajo en xlsx,tramites,todos,excel
Muéstrame un reporte de documentos completo en excel,documentos,todos,excel
Listado políticas de negocio finalizado formato pdf,politicas,completados,pdf
REPORTE POLÍTICA PENDIENTES XLSX,politicas,pendientes,excel
Sácame un reporte de procesos aprobado en xlsx,tramites,completados,excel
Descargar en formato pdf el reporte de políticas lista completa,politicas,todos,pdf
Podrías generarme un reporte de adjuntos fuera de plazo en hoja excel,documentos,atrasados,excel
Muéstrame un reporte de políticas sin filtros en hoja excel,politicas,todos,excel
Exportar a en pantalla los funcionarios,usuarios,todos,pantalla
Necesito exportar a en excel el listado de cliente demorado,clientes,atrasados,excel
Dame los funcionarios en formato en pdf.,usuarios,todos,pdf
Quiero un reporte de diagramas en consola!,politicas,todos,pantalla
Obtener reporte de personas pendiente en documento word,clientes,pendientes,word
Necesito el reporte de usuario pendiente en en pdf,usuarios,pendientes,pdf
Datos personal activo excel,usuarios,pendientes,excel
Quiero exportar en mostrar las política de negocio vencidos,politicas,atrasados,pantalla
Descargar en en pantalla el reporte de reglas todas,politicas,todos,pantalla
Por favor genera un reporte de política de negocio con demora en documento editable,politicas,atrasados,word
Generar un reporte de operadores en formato excel,usuarios,todos,excel
Generar un reporte de política de negocio en archivo excel,politicas,todos,excel
datos fichero sin filtros formato portable!,documentos,todos,pdf
Hazme un reporte de política de negocio general en pdf,politicas,todos,pdf
Generar un reporte de trámite en documento pdf,tramites,todos,pdf
Necesito el reporte de trámite en hoja de cálculo,tramites,todos,excel
Podrías generarme un reporte de empleados activos en pantalla,usuarios,pendientes,pantalla
Listado operador todos visualizar,usuarios,todos,pantalla
Necesito el reporte de operadores en xlsx,usuarios,todos,excel
Reporte ciudadanos hoja de cálculo,clientes,todos,excel
Muéstrame un reporte de adjuntos todas en en pantalla,documentos,todos,pantalla
quiero un reporte de adjuntos completados en en excel,documentos,completados,excel
Crear reporte de clientes pendientes en json,clientes,pendientes,pantalla
dame los usuarios finales en formato formato portable,clientes,todos,pdf
Generar un reporte de procesos en archivo excel.,tramites,todos,excel
Necesito el reporte de empleado en progreso en mostrar!,usuarios,pendientes,pantalla
generar un reporte de reglas de negocio vencido en pantalla,politicas,atrasados,pantalla
Generar un reporte de documentos en curso en pdf,documentos,pendientes,pdf
Descargar reporte de trámites en curso en archivo excel,tramites,pendientes,excel
Descargar reporte de políticas general en mostrar,politicas,todos,pantalla
sácame un reporte de cliente pendiente en json,clientes,pendientes,pantalla
¿cómo puedo ver el reporte de solicitantes atrasado en archivo excel?,clientes,atrasados,excel
Muéstrame un reporte de fichero hechos en en excel,documentos,completados,excel
Crear reporte de documentos con demora en hoja excel,documentos,atrasados,excel
Podrías generarme un reporte de flujos de trabajo activo en docx,tramites,pendientes,word
Necesito el reporte de solicitantes terminado en formato excel,clientes,completados,excel
reporte procesos docx,tramites,todos,word
generar un reporte de archivos sin filtros en formato word,documentos,todos,word
Lista documento archivo excel,documentos,todos,excel
Necesito el reporte de personas en xlsx,clientes,todos,excel
Hazme un reporte de documento terminado en consola,documentos,completados,pantalla
Datos requisitos global pdf,documentos,todos,pdf
obtener reporte de solicitantes en formato json,clientes,todos,pantalla
Generar un reporte de adjuntos en documento pdf,documentos,todos,pdf
Hazme un reporte de solicitante completados en pdf,clientes,completados,pdf
NECESITO EXPORTAR A EN WORD EL LISTADO DE USUARIOS GLOBAL,usuarios,todos,word
Podrías generarme un reporte de solicitudes en proceso en formato word,tramites,pendientes,word
Obtener reporte de casos vencidos en documento pdf,tramites,atrasados,pdf
Descargar reporte de empleados aprobados en visualizar,usuarios,completados,pantalla
descargar reporte de documentos en documento editable,documentos,todos,word
Por favor genera un reporte de funcionarios completo en xlsx,usuarios,todos,excel
Descargar en hoja excel el reporte de documentos en progreso,documentos,pendientes,excel
hazme un reporte de políticas fuera de plazo en excel.,politicas,atrasados,excel
LISTA DOCUMENTO TODOS PANTALLA,documentos,todos,pantalla
Descargar reporte de flujos de trabajo en en pdf,tramites,todos,pdf
Hazme un reporte de empleado hechos en en excel,usuarios,completados,excel
Crear reporte de casos lista completa en pantalla,tramites,todos,pantalla
Generar un reporte de personal global en mostrar!,usuarios,todos,pantalla
Descargar reporte de operador en archivo word.,usuarios,todos,word
Descargar en en pdf el reporte de personas global,clientes,todos,pdf
Lista diagramas hoja de cálculo,politicas,todos,excel
obtener reporte de cliente en progreso en hoja excel.,clientes,pendientes,excel
Obtener reporte de funcionario en formato word,usuarios,todos,word
Muéstrame un reporte de ciudadanos demorado en archivo word,clientes,atrasados,word
listado cliente total excel,clientes,todos,excel
Generar un reporte de peticiones terminado en en excel,tramites,completados,excel
Por favor genera un reporte de ciudadanos hechos en documento editable,clientes,completados,word
Quiero exportar en documento editable las política de negocio total,politicas,todos,word
Obtener reporte de solicitudes en documento word,tramites,todos,word
Quiero exportar en hoja excel las peticiones finalizado,tramites,completados,excel
Lista ciudadanos word,clientes,todos,word
Descargar en en pdf el reporte de usuarios finales total.,clientes,todos,pdf
Por favor genera un reporte de operador demorados en archivo word,usuarios,atrasados,word
Necesito el reporte de documento en en word.,documentos,todos,word
¿es posible obtener los usuarios todas en archivo excel?,usuarios,todos,excel
En formato hoja de cálculo dame los flujos de trabajo vencido,tramites,atrasados,excel
generar un reporte de procesos sin filtros en en pantalla,tramites,todos,pantalla
Descargar reporte de diagramas activo en formato portable,politicas,pendientes,pdf
Reporte clientes excel.,clientes,todos,excel
Crear reporte de políticas general en formato portable,politicas,todos,pdf
en formato pdf quiero el reporte de funcionarios con demora,usuarios,atrasados,pdf
GENERAR UN REPORTE DE SOLICITUDES FINALIZADOS EN EN WORD,tramites,completados,word
Quisiera ver la lista de operador completo y bajarla en archivo excel,usuarios,todos,excel
Exportar a en pdf los trámite en progreso,tramites,pendientes,pdf
Hazme un reporte de adjuntos total en en pdf,documentos,todos,pdf
Descargar en formato excel el reporte de clientes activo,clientes,pendientes,excel
Quiero un reporte de fichero global en en excel,documentos,todos,excel
¿es posible obtener los reglas todas en en pdf?,politicas,todos,pdf
Crear reporte de flujos de trabajo todas en hoja excel,tramites,todos,excel
Listado personas con demora documento editable,clientes,atrasados,word
Generar un reporte de ciudadanos en archivo word.,clientes,todos,word
lista política de negocio en curso archivo excel,politicas,pendientes,excel
Muéstrame un reporte de archivos en en pantalla,documentos,todos,pantalla
Obtener reporte de ficheros aprobados en en pdf,documentos,completados,pdf
Generar un reporte de reglas de negocio tardíos en documento pdf,politicas,atrasados,pdf
Descargar en archivo pdf el reporte de solicitante todos,clientes,todos,pdf
Exportar a formato portable los operador,usuarios,todos,pdf
Sácame un reporte de operador vencidos en ver,usuarios,atrasados,pantalla
exportar a documento word los flujos de trabajo terminados,tramites,completados,word
Generar un reporte de diagramas atrasados en en pantalla!,politicas,atrasados,pantalla
Descargar reporte de documentos en en word,documentos,todos,word
Obtener reporte de ciudadanos en xlsx,clientes,todos,excel
QUISIERA VER LA LISTA DE OPERADOR DEMORADOS Y BAJARLA EN VER,usuarios,atrasados,pantalla
Quiero un reporte de trámites en en word,tramites,todos,word
Descargar reporte de solicitante en archivo pdf,clientes,todos,pdf
quiero un reporte de clientes todas en hoja excel.,clientes,todos,excel
Generar un reporte de requisitos con demora en formato word,documentos,atrasados,word
Crear reporte de archivo activo en hoja excel,documentos,pendientes,excel
Podrías generarme un reporte de adjuntos lista completa en formato pdf.,documentos,todos,pdf
Dame los documentos activos en formato visualizar,documentos,pendientes,pantalla
Necesito el reporte de papeles en formato json,documentos,todos,pantalla
necesito el reporte de empleado todos en xlsx,usuarios,todos,excel
Sácame un reporte de funcionarios fuera de plazo en vista previa,usuarios,atrasados,pantalla
Sácame un reporte de fichero resuelto en archivo word,documentos,completados,word
Dame los trámites en formato formato pdf,tramites,todos,pdf
Quiero un reporte de clientes en xlsx,clientes,todos,excel
Crear reporte de diagramas hechos en formato word,politicas,completados,word
Necesito el reporte de reglas de negocio demorados en hoja de cálculo,politicas,atrasados,excel
Hazme un reporte de cliente sin filtros en archivo pdf,clientes,todos,pdf
Crear reporte de solicitudes en hoja excel,tramites,todos,excel
quiero exportar en docx las adjuntos completado.,documentos,completados,word
Necesito exportar a formato excel el listado de ficheros completados,documentos,completados,excel
Por favor genera un reporte de políticas resueltos en documento word,politicas,completados,word
Reporte casos terminados xlsx,tramites,completados,excel
Exportar a formato json los reglas de negocio con demora,politicas,atrasados,pantalla
Podrías generarme un reporte de cliente en curso en en pantalla,clientes,pendientes,pantalla
Datos archivos activo pantalla,documentos,pendientes,pantalla
generar un reporte de flujos de trabajo en documento pdf,tramites,todos,pdf
Generar un reporte de diagramas de actividad atrasados en visualizar.,politicas,atrasados,pantalla
Generar un reporte de archivos con demora en word,documentos,atrasados,word
En hoja excel quiero el reporte de flujos de trabajo en proceso,tramites,pendientes,excel
listado usuarios atrasado archivo pdf!,usuarios,atrasados,pdf
Quisiera ver la lista de requisitos vencidos y bajarla en xlsx,documentos,atrasados,excel
Listado trámites general excel,tramites,todos,excel
¿es posible obtener los trámite vencidos en archivo excel?,tramites,atrasados,excel
Sácame un reporte de usuario terminados en en word,usuarios,completados,word
Dame los procesos en formato en excel,tramites,todos,excel
Por favor genera un reporte de política de negocio todas en documento word,politicas,todos,word
Hazme un reporte de ciudadanos hechos en xlsx,clientes,completados,excel
Quiero exportar en archivo pdf las requisitos cualquiera.,documentos,todos,pdf
Quisiera ver la lista de trámite completado y bajarla en pantalla,tramites,completados,pantalla
Dame los cliente activos en formato mostrar,clientes,pendientes,pantalla
Muéstrame un reporte de trámites todas en formato word,tramites,todos,word
quiero un reporte de documento en archivo excel,documentos,todos,excel
listado empleado sin filtros pantalla,usuarios,todos,pantalla
Muéstrame un reporte de requisitos en formato portable,documentos,todos,pdf
Hazme un reporte de ficheros todas en archivo excel,documentos,todos,excel
Muéstrame un reporte de adjuntos en hoja excel,documentos,todos,excel
descargar reporte de trámite terminados en visualizar!,tramites,completados,pantalla
Generar un reporte de usuario activos en archivo pdf,usuarios,pendientes,pdf
obtener reporte de trámites en archivo word!,tramites,todos,word
Generar un reporte de personal en en pantalla,usuarios,todos,pantalla
Hazme un reporte de clientes con demora en hoja excel.,clientes,atrasados,excel
Exportar a mostrar los documento pendiente,documentos,pendientes,pantalla
Sácame un reporte de política de negocio terminado en json.,politicas,completados,pantalla
DESCARGAR REPORTE DE USUARIOS FINALES EN XLSX,clientes,todos,excel
Listado flujos de trabajo completo formato pdf,tramites,todos,pdf
Dame los papeles en formato documento editable,documentos,todos,word
Por favor genera un reporte de flujos de trabajo aprobados en documento editable,tramites,completados,word
Necesito exportar a pantalla el listado de procesos todos,tramites,todos,pantalla
Hazme un reporte de ciudadanos pendiente en mostrar,clientes,pendientes,pantalla
Descargar reporte de políticas lista completa en formato portable,politicas,todos,pdf
Exportar a en word los empleado con demora!,usuarios,atrasados,word
Necesito el reporte de archivo completo en archivo excel.,documentos,todos,excel
Quiero un reporte de funcionario todos en mostrar,usuarios,todos,pantalla
Datos procesos en curso pdf,tramites,pendientes,pdf
Datos usuario en curso en pdf,usuarios,pendientes,pdf
descargar en archivo word el reporte de requisitos todos,documentos,todos,word
¿cómo puedo ver el reporte de operador demorados en en excel?,usuarios,atrasados,excel
descargar reporte de casos sin filtros en formato excel,tramites,todos,excel
Generar un reporte de fichero general en xlsx,documentos,todos,excel
Quisiera ver la lista de flujos de trabajo global y bajarla en en pantalla,tramites,todos,pantalla
En formato json quiero el reporte de fichero lista completa,documentos,todos,pantalla
Quiero un reporte de clientes completado en pdf,clientes,completados,pdf
Exportar a consola los políticas de negocio fuera de plazo,politicas,atrasados,pantalla
generar un reporte de ciudadanos en en word,clientes,todos,word
necesito el reporte de funcionario completados en consola,usuarios,completados,pantalla
Necesito exportar a en word el listado de política de negocio resuelto,politicas,completados,word
En formato formato excel dame los casos global,tramites,todos,excel
¿cómo puedo ver el reporte de ficheros tardíos en ver?,documentos,atrasados,pantalla
Por favor genera un reporte de políticas en curso en pdf,politicas,pendientes,pdf
Hazme un reporte de adjuntos finalizado en formato excel,documentos,completados,excel
descargar reporte de flujos de trabajo con demora en pdf,tramites,atrasados,pdf
quiero un reporte de usuario en pantalla.,usuarios,todos,pantalla
EN DOCUMENTO EDITABLE QUIERO EL REPORTE DE PERSONAS SIN FILTROS,clientes,todos,word
reporte reglas documento pdf,politicas,todos,pdf
CREAR REPORTE DE POLÍTICA DE NEGOCIO DEMORADO EN EN PDF,politicas,atrasados,pdf
Quisiera ver la lista de papeles finalizado y bajarla en word,documentos,completados,word
Lista solicitantes lista completa xlsx,clientes,todos,excel
Lista requisitos en proceso consola,documentos,pendientes,pantalla
Necesito el reporte de políticas aprobado en docx,politicas,completados,word
¿cómo puedo ver el reporte de políticas de negocio completado en ver?,politicas,completados,pantalla
¿cómo puedo ver el reporte de empleado completado en excel?,usuarios,completados,excel
Exportar a archivo pdf los operadores activo,usuarios,pendientes,pdf
descargar en mostrar el reporte de procesos completo.,tramites,todos,pantalla
¿cómo puedo ver el reporte de usuario sin filtros en formato pdf?.,usuarios,todos,pdf
Necesito el reporte de procesos demorados en consola.,tramites,atrasados,pantalla
Lista trámites vencidos json.,tramites,atrasados,pantalla
Muéstrame un reporte de operadores en formato portable,usuarios,todos,pdf
por favor genera un reporte de política atrasados en pdf,politicas,atrasados,pdf
Dame los fichero tardíos en formato excel,documentos,atrasados,excel
Hazme un reporte de casos resuelto en documento editable,tramites,completados,word
Crear reporte de requisitos hechos en en excel,documentos,completados,excel
Listado funcionario completado json,usuarios,completados,pantalla
Generar un reporte de papeles atrasados en formato pdf,documentos,atrasados,pdf
Podrías generarme un reporte de empleados en proceso en formato word,usuarios,pendientes,word
Muéstrame un reporte de ciudadanos global en xlsx,clientes,todos,excel
Quiero un reporte de trámites pendiente en mostrar.,tramites,pendientes,pantalla
Obtener reporte de reglas de negocio todas en archivo word,politicas,todos,word
Dame los empleados con retraso en formato visualizar,usuarios,atrasados,pantalla
NECESITO EL REPORTE DE USUARIOS FINALES EN ARCHIVO WORD,clientes,todos,word
Muéstrame un reporte de solicitudes fuera de plazo en formato pdf,tramites,atrasados,pdf
Descargar reporte de clientes en json,clientes,todos,pantalla
Obtener reporte de políticas en archivo pdf,politicas,todos,pdf
Generar un reporte de procesos en proceso en xlsx.,tramites,pendientes,excel
Obtener reporte de usuarios en hoja de cálculo,usuarios,todos,excel
Podrías generarme un reporte de solicitudes resueltos en xlsx,tramites,completados,excel
Sácame un reporte de personas aprobado en documento word,clientes,completados,word
quiero un reporte de reglas de negocio cualquiera en formato portable,politicas,todos,pdf
Exportar a en pdf los funcionario global,usuarios,todos,pdf
Generar un reporte de empleados en hoja de cálculo,usuarios,todos,excel
Quisiera ver la lista de diagramas de actividad aprobado y bajarla en archivo pdf,politicas,completados,pdf
En formato word quiero el reporte de usuarios finales procesando!,clientes,pendientes,word
Descargar reporte de peticiones en word!,tramites,todos,word
Lista empleados formato word,usuarios,todos,word
Obtener reporte de ficheros en pdf,documentos,todos,pdf
En formato documento word dame los solicitantes con demora,clientes,atrasados,word
Datos requisitos resueltos xlsx,documentos,completados,excel
Dame los documento en formato formato json,documentos,todos,pantalla
QUIERO UN REPORTE DE OPERADORES GLOBAL EN VISTA PREVIA,usuarios,todos,pantalla
Reporte adjuntos xlsx.,documentos,todos,excel
Exportar a vista previa los personas.,clientes,todos,pantalla
Obtener reporte de peticiones en archivo pdf,tramites,todos,pdf
descargar reporte de política de negocio en formato excel,politicas,todos,excel
Generar un reporte de funcionario atrasado en visualizar,usuarios,atrasados,pantalla
generar un reporte de peticiones en documento pdf,tramites,todos,pdf
Quiero un reporte de documento aprobados en ver,documentos,completados,pantalla
Descargar reporte de diagramas activo en json,politicas,pendientes,pantalla
Quiero un reporte de peticiones global en ver,tramites,todos,pantalla
Muéstrame un reporte de procesos en documento pdf,tramites,todos,pdf
En formato word dame los diagramas de actividad procesando,politicas,pendientes,word
Obtener reporte de requisitos en documento editable,documentos,todos,word
Quisiera ver la lista de reglas resuelto y bajarla en archivo excel.,politicas,completados,excel
Obtener reporte de trámites en en excel,tramites,todos,excel
Dame los requisitos vencidos en formato excel,documentos,atrasados,excel
Dame los empleado en formato formato excel,usuarios,todos,excel
En mostrar quiero el reporte de empleados general,usuarios,todos,pantalla
Sácame un reporte de trámites demorados en excel,tramites,atrasados,excel
Quisiera ver la lista de política sin filtros y bajarla en archivo excel,politicas,todos,excel
Por favor genera un reporte de ciudadanos todas en visualizar,clientes,todos,pantalla
Hazme un reporte de política terminados en en pdf,politicas,completados,pdf
Crear reporte de flujos de trabajo pendientes en archivo word,tramites,pendientes,word
dame los procesos finalizado en formato en pantalla,tramites,completados,pantalla
Muéstrame un reporte de trámites pendientes en en pantalla,tramites,pendientes,pantalla
Necesito el reporte de reglas de negocio todos en excel,politicas,todos,excel
Hazme un reporte de documentos demorado en archivo pdf,documentos,atrasados,pdf
por favor genera un reporte de personas en curso en formato json,clientes,pendientes,pantalla
QUIERO EXPORTAR EN DOCX LAS OPERADORES PENDIENTES,usuarios,pendientes,word
dame los política atrasados en formato pdf.,politicas,atrasados,pdf
Crear reporte de funcionarios en curso en en word,usuarios,pendientes,word
Listado empleados sin terminar formato json,usuarios,pendientes,pantalla
Descargar reporte de reglas en formato portable,politicas,todos,pdf
podrías generarme un reporte de documento terminado en formato excel,documentos,completados,excel
Lista peticiones atrasados json,tramites,atrasados,pantalla
dame los políticas de negocio en formato consola,politicas,todos,pantalla
¿es posible obtener los solicitudes terminado en pdf?,tramites,completados,pdf
Descargar reporte de peticiones aprobados en pantalla,tramites,completados,pantalla
Muéstrame un reporte de reglas de negocio en consola!,politicas,todos,pantalla
generar un reporte de personal en hoja de cálculo,usuarios,todos,excel
¿cómo puedo ver el reporte de reglas de negocio con demora en formato portable?!,politicas,atrasados,pdf
Lista procesos formato portable,tramites,todos,pdf
Lista diagramas finalizados en pdf,politicas,completados,pdf
Crear reporte de políticas en xlsx.,politicas,todos,excel
QUISIERA VER LA LISTA DE FICHEROS ATRASADOS Y BAJARLA EN FORMATO WORD,documentos,atrasados,word
¿cómo puedo ver el reporte de políticas general en formato pdf?,politicas,todos,pdf
Sácame un reporte de clientes terminado en archivo excel,clientes,completados,excel
PODRÍAS GENERARME UN REPORTE DE EMPLEADO ATRASADOS EN HOJA DE CÁLCULO,usuarios,atrasados,excel
Podrías generarme un reporte de diagramas de actividad resuelto en excel.,politicas,completados,excel
Dame los solicitudes pendiente en formato formato json,tramites,pendientes,pantalla
Sácame un reporte de fichero finalizado en hoja excel,documentos,completados,excel
crear reporte de clientes en archivo word,clientes,todos,word
Quiero un reporte de usuarios finales en hoja excel,clientes,todos,excel
Crear reporte de usuario en documento pdf,usuarios,todos,pdf
Reporte archivos todas documento pdf,documentos,todos,pdf
Por favor genera un reporte de casos lista completa en pdf,tramites,todos,pdf
¿es posible obtener los ficheros todas en hoja de cálculo?!,documentos,todos,excel
Obtener reporte de operador en json,usuarios,todos,pantalla
Sácame un reporte de políticas de negocio con demora en archivo excel,politicas,atrasados,excel
¿es posible obtener los política terminados en documento pdf?,politicas,completados,pdf
EN FORMATO DOCUMENTO EDITABLE DAME LOS SOLICITANTE TERMINADO,clientes,completados,word
Listado fichero todas documento word,documentos,todos,word
lista documento finalizado formato word,documentos,completados,word
Quiero un reporte de trámites vencido en hoja excel,tramites,atrasados,excel
Dame los solicitantes en formato visualizar.,clientes,todos,pantalla
Quiero exportar en formato portable las fichero completado,documentos,completados,pdf
Exportar a word los políticas de negocio,politicas,todos,word
Quiero exportar en en excel las trámite con demora,tramites,atrasados,excel
Exportar a excel los cliente.,clientes,todos,excel
Quiero un reporte de casos en excel,tramites,todos,excel
Descargar reporte de empleados en hoja de cálculo,usuarios,todos,excel
Dame los usuario en formato en excel,usuarios,todos,excel
Obtener reporte de operadores en documento editable,usuarios,todos,word
